Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
OSOLA;AGUA BLOCK X 500 cc;24,16;50;107;420;44,87;7798119220213;9152;11/05/2023
PEJINAKIS;AGUA BRIO MANZANA 1.5 ML;26,88;40;49;190;17,81;7798062543919;4;11/05/2023
PEJINAKIS;AGUA BRIO POMELO 1.5 ML;60,16;80;33;400;10,82;7798062543933;77;11/05/2023
MARINARO;AGUA CELLIER MANZANA 1.5 L;30,16;40;33;202,68;12;7790639002485;5;11/05/2023
COCA COLA;AGUA CON GAS KIN 500 CC;15;20;33;0;0;7790895000874;919;11/05/2023
CITRIC;AGUA CON GAS SIERRA DE LOS PADRES;29;50;72;420;20,69;7798065730040;999;11/05/2023
PEJINAKIS;AGUA CON GAS VILLAVICENCIA PREMIER500 CC;112,34;140;25;1490;10,53;7798062547801;582;11/05/2023
PEJINAKIS;AGUA CON GAS VILLAVICENCIO 1.5 L;235,5;290;23;1650;16,77;7798062547788;820;11/05/2023
PEJINAKIS;AGUA CON GAS VILLAVICENCIO 500 ML;160;200;25;2200;14,58;3078;113;11/05/2023
BARRICA BEBIDAS;AGUA IVESS BIDON 6 L.;45,99;55;19;0;0;7795176001151;998;11/05/2023
COCA COLA;AGUA KIN 1 LITRO;21,64;25;15;0;0;7790895004230;997;11/05/2023
COCA COLA;AGUA KIN 6,25 L;216;260;20;0;13,77;7790895010118;738;11/05/2023
COCA COLA;AGUA KIN CON GAS 600 ML;60,28;70;15;800;10,6;7790895644160;914;11/05/2023
COCA COLA;AGUA KIN SIN GAS 375 ML;10,05;20;99;140;16,09;7790895643699;974;11/05/2023
COCA COLA;AGUA KIN SIN GAS 600 ML;60,28;70;16;800;10,6;7790895643705;9993;11/05/2023
COCA COLA;AGUA KIN X 5 L;5;25;400;0;0;7790895640827;87;11/05/2023
PEJINAKIS;AGUA LEVITE ANANA 1,5 L.;338;420;24;2400;18,34;7790315101297;984;11/05/2023
PEJINAKIS;AGUA LEVITE ANANA X 2.25 L;175,86;210;19;1170;10,88;7798062541700;65519;11/05/2023
PEJINAKIS;AGUA LEVITE CERO MANZANA 2.25 cc;175,86;210;19;1170;10,88;7790315001085;735;11/05/2023
PEJINAKIS;AGUA LEVITE F. TROP ZERO X 2.25 L;107,13;130;21;739;15;7798062542332;993;11/05/2023
PEJINAKIS;AGUA LEVITE FIZZ POMELO 575 ML;129,8;170;31;900;15,56;7790315101181;847;11/05/2023
PEJINAKIS;AGUA LEVITE NARANJA DULCE X 2.25 L;175,86;210;19;1170;10,88;7798062541878;607;11/05/2023
PEJINAKIS;AGUA LEVITE NARANJA X 1.5 ML;338;420;24;2400;18,34;7798062548648;899;11/05/2023
PEJINAKIS;AGUA LEVITE PERA 1.5 L.;338;420;24;2400;18,34;7798062540253;920;11/05/2023
PEJINAKIS;AGUA LEVITE PERA X 2.25 LITROS;175,86;210;19;1170;10,88;7798062541014;65450;11/05/2023
MARINARO;AGUA MARINARO 2.25 cc;25;30;20;175,02;16,67;7795176000307;5;11/05/2023
PEPSI;AGUA MIMERAL ECO DE LOS ANDES X 500 CC;155;200;29;0;0;7792799000011;80;11/05/2023
PEPSI;AGUA MINERAL  ECO DE LOS ANDES X 2 L;41;50;22;280;13,82;7792799000097;70;11/05/2023
PEPSI;AGUA MINERAL ECO DE LOS ANDES X 1 L;265;330;25;1800;13,21;7792799000639;130;11/05/2023
PEPSI;AGUA MINERAL ECO DE LOS ANDES X 1.5 L;100;130;30;0;0;7792799000059;84;11/05/2023
PEPSI;AGUA MINERAL NESTLE 1,5 LITROS;192;250;30;1350;17,19;7792799000905;857;11/05/2023
PEPSI;AGUA MINERAL NESTLE X 500 ML;138,5;170;23;0;0;7792799000899;64;11/05/2023
PEJINAKIS;AGUA MINERAL VILLAVICENCIO 2 LT;260;320;23;1800;15,38;7790315000422;63856;11/05/2023
PEJINAKIS;AGUA MINERAL VILLAVICENCIO 500 CM3;160;200;25;2200;14,58;7790315000446;3195;11/05/2023
PEJINAKIS;AGUA MINERAL VILLAVICENCIO SPORT 750 CM3;260;320;23;3600;15,38;7790315058201;679;11/05/2023
PEPSI;AGUA NESTLE 2.25 L;220;270;23;1500;13,64;7795930000543;752;11/05/2023
PEJINAKIS;AGUA SAB LEVITE FRUTILLA+LIMON 2.5 cl;81,4;100;23;562;15;7798062542929;995;11/05/2023
PEJINAKIS;AGUA SAB LEVITE POMELO 1 L;39;50;28;0;0;7798062544848;85;11/05/2023
PEJINAKIS;AGUA SAB LEVITE POMELO 1.5 l;338;420;24;2400;18,34;7798062548679;828;11/05/2023
COCA COLA;AGUA SAB. AQUARIUS NARANJA 500 CM3;208;250;20;1440;15,38;7790895641213;993;11/05/2023
COCA COLA;AGUA SAB. AQUARIUS PERA 1.5 CM3;376,33;450;20;2600;15,15;7790895640476;65179;11/05/2023
COCA COLA;AGUA SAB. AQUARIUS PERA 500 CM3;208;250;20;1440;15,38;7790895640445;819;11/05/2023
COCA COLA;AGUA SAB. AQUARIUS POMELO 1.5 CM3;376,33;450;20;2600;15,15;7790895640490;65033;11/05/2023
